DateTime,XBOX,PS,PC
9/21/2018 0:00,1705714,1366667,2799000
9/22/2018 0:00,1773438,1322625,2745625
9/23/2018 0:00,1889832,1720925,2552375
9/24/2018 0:00,1968772,1718949,2348333
9/25/2018 0:00,1886285,1569134,2479700
9/26/2018 0:00,1860427,1630217,2511273
9/27/2018 0:00,1860659,1807314,2755333
9/28/2018 0:00,1858191,1688245,2602267
9/29/2018 0:00,1896354,1774088,2503409
9/30/2018 0:00,1929416,1838174,2743714
10/1/2018 0:00,1962567,1944775,2828714
10/2/2018 0:00,1985767,1999483,3498909
10/3/2018 0:00,2019366,2021056,2972000
10/4/2018 0:00,2035145,2022200,2948167
10/5/2018 0:00,2037507,2064015,2932800
10/6/2018 0:00,2059237,2095042,3083700
10/7/2018 0:00,2074378,2115861,3699889
10/8/2018 0:00,2036732,2143413,3126500
10/9/2018 0:00,2062023,2119556,3003588
10/10/2018 0:00,2075859,2154392,3031389
10/11/2018 0:00,2051417,2142763,2906000
10/12/2018 0:00,2070608,2190325,2858538
10/13/2018 0:00,2054128,2094216,2864667
10/14/2018 0:00,2021034,2108279,2814833
10/15/2018 0:00,2006266,2093338,2737091
10/16/2018 0:00,1986436,2094545,2880645
10/17/2018 0:00,2002938,2114689,2843951
10/18/2018 0:00,1969123,2080960,2909862
10/19/2018 0:00,2011373,2134589,2858893
10/20/2018 0:00,2007657,2156183,2928440
10/21/2018 0:00,2007096,2158771,2918125
10/22/2018 0:00,2000976,2150900,2952917
10/23/2018 0:00,2014876,2167008,2998889
10/24/2018 0:00,2018363,2209514,3036000
10/25/2018 0:00,2027918,2193021,3017762
10/26/2018 0:00,2062810,2221526,2936037
10/27/2018 0:00,2044583,2220975,2975071
10/28/2018 0:00,2016839,2235619,3021377
10/29/2018 0:00,2011328,2206732,2937881
10/30/2018 0:00,2011291,2240508,2967774
10/31/2018 0:00,2023831,2260515,3009788
11/1/2018 0:00,2007242,2221687,2991531
11/2/2018 0:00,2044833,2258714,3025605
11/3/2018 0:00,2053370,2275076,3047119
11/4/2018 0:00,2031187,2232570,3083324
11/5/2018 0:00,1997333,2178864,3006688
11/6/2018 0:00,1962133,2158411,3016378
11/7/2018 0:00,1963359,2170754,2973585
11/8/2018 0:00,1973818,2193331,2965261
11/9/2018 0:00,1978150,2203275,2955623
11/10/2018 0:00,1948546,2179566,2909404
11/11/2018 0:00,1934903,2155213,2901280
11/12/2018 0:00,1940928,2166439,2889807
11/13/2018 0:00,1934800,2184144,2924662
11/14/2018 0:00,1939434,2187906,2963746
11/15/2018 0:00,1947000,2199008,2937610
11/16/2018 0:00,1947610,2214578,2910224
11/17/2018 0:00,1941315,2192764,2862817
11/18/2018 0:00,1906736,2175329,2857565
11/19/2018 0:00,1917438,2193189,2871614
11/20/2018 0:00,1927306,2223571,2886797
11/21/2018 0:00,1943750,2242893,2923696
11/22/2018 0:00,1945979,2233404,2905583
11/23/2018 0:00,1977035,2245348,2897727
11/24/2018 0:00,2050667,2320832,2941045
11/25/2018 0:00,2070294,2341489,2938091
11/26/2018 0:00,2056643,2348271,2914058
11/27/2018 0:00,2102573,2404415,2986939
11/28/2018 0:00,2146785,2458862,3000971
11/29/2018 0:00,2172923,2493580,3016981
11/30/2018 0:00,2200417,2496993,3069032
12/1/2018 0:00,2203993,2489482,3135036
12/2/2018 0:00,2187590,2468856,3123433
12/3/2018 0:00,2187021,2484211,3143378
12/4/2018 0:00,2213917,2518275,3096785
12/5/2018 0:00,2229076,2521475,3158172
12/6/2018 0:00,2213146,2519140,3235932
12/7/2018 0:00,2170806,2473806,3142246
12/8/2018 0:00,2197427,2480646,3121315
12/9/2018 0:00,2167625,2473023,3095349
12/10/2018 0:00,2156207,2451461,3029156
12/11/2018 0:00,2142706,2466633,3029564
12/12/2018 0:00,2153590,2451677,3048103
12/13/2018 0:00,2170715,2464901,3047309
12/14/2018 0:00,2175056,2451163,3033690
12/15/2018 0:00,2150604,2426169,2996390
12/16/2018 0:00,2125324,2400565,3009447
12/17/2018 0:00,2096155,2400943,2970942
12/18/2018 0:00,2123490,2411085,2961269
12/19/2018 0:00,2129255,2430525,2943671
12/20/2018 0:00,2146825,2457468,2980537
12/21/2018 0:00,2167008,2466083,3002125
12/22/2018 0:00,2129868,2436793,3005935
12/23/2018 0:00,2096465,2408029,2977908
12/24/2018 0:00,2120625,2428700,2982500
12/25/2018 0:00,2092125,2411120,2949000
12/26/2018 0:00,2116556,2414266,2937750
12/27/2018 0:00,2108096,2427526,2924400
12/28/2018 0:00,2136688,2446986,2927529
12/29/2018 0:00,2108639,2431699,2919159
12/30/2018 0:00,2092139,2420394,2923106
12/31/2018 0:00,2090021,2413262,2856111
1/1/2019 0:00,2106736,2423483,2870382
1/2/2019 0:00,2096653,2415549,2904284
1/3/2019 0:00,2067375,2385085,2866647
1/4/2019 0:00,2048236,2332347,2834895
1/5/2019 0:00,1972993,2236743,2792929
1/6/2019 0:00,1962132,2261826,2797355
1/7/2019 0:00,1979364,2290070,2806606
1/8/2019 0:00,1999264,2288406,2763457
1/9/2019 0:00,1974076,2282611,2755471
1/10/2019 0:00,1931049,2245811,2727222
1/11/2019 0:00,1943285,2234561,2743741
1/12/2019 0:00,1922181,2199112,2717831
1/13/2019 0:00,1952354,2220759,2766043
1/14/2019 0:00,1968833,2251797,2816608
1/15/2019 0:00,1993783,2292862,2870192
1/16/2019 0:00,1988521,2271636,2878759
1/17/2019 0:00,1950504,2257637,2859563
1/18/2019 0:00,1936566,2220949,2799901
1/19/2019 0:00,1833713,2133418,2694577
1/20/2019 0:00,1783438,2082601,2676600
1/21/2019 0:00,1771236,2056837,2694250
1/22/2019 0:00,1768354,2041664,2666087
1/23/2019 0:00,1748193,2001750,2674492
1/24/2019 0:00,1763007,2025875,2661971
1/25/2019 0:00,1767314,2037907,2622372
1/26/2019 0:00,1757846,2017322,2599082
1/27/2019 0:00,1746257,2023896,2621636
1/28/2019 0:00,1756771,2031769,2645677
1/29/2019 0:00,1746201,2043757,2661009
1/30/2019 0:00,1757930,2071410,2675346
1/31/2019 0:00,1783333,2088224,2706500
2/1/2019 0:00,1773146,2072085,2681000
2/2/2019 0:00,1750993,2071028,2677444
2/3/2019 0:00,1750424,2066972,2693611
2/4/2019 0:00,1723389,2053189,2665228
2/5/2019 0:00,1715785,2048667,2668102
2/6/2019 0:00,1725618,2053521,2687000
2/7/2019 0:00,1737299,2075559,2726188
2/8/2019 0:00,1768514,2100736,2740793
2/9/2019 0:00,1751475,2094903,2721337
2/10/2019 0:00,1753518,2077787,2740299
2/11/2019 0:00,1746979,2074685,2727373
2/12/2019 0:00,1729596,2058638,2713761
2/13/2019 0:00,1708206,2032364,2715095
2/14/2019 0:00,1695429,2021681,2716173
2/15/2019 0:00,1633386,1933968,2687385
2/16/2019 0:00,1615464,1943081,2711012
2/17/2019 0:00,1561853,1887859,2705908
2/18/2019 0:00,1543597,1877420,2672144
2/19/2019 0:00,1558979,1890270,2649034
2/20/2019 0:00,1579715,1923572,2691690
2/21/2019 0:00,1612259,1947121,2744101
2/22/2019 0:00,1611437,1930107,2775962
2/23/2019 0:00,1607486,1919414,2739889
2/24/2019 0:00,1589903,1899028,2737775
2/25/2019 0:00,1591326,1912309,2705861
2/26/2019 0:00,1595576,1935404,2724292
2/27/2019 0:00,1596167,1942806,2739611
2/28/2019 0:00,1609493,1956028,2781761
3/1/2019 0:00,1600118,1929709,2744222
3/2/2019 0:00,1594701,1900586,2744430
3/3/2019 0:00,1555958,1858270,2722295
3/4/2019 0:00,1540354,1826944,2636252
3/5/2019 0:00,1519930,1812479,2633879
3/6/2019 0:00,1488000,1801259,2637764
3/7/2019 0:00,1479103,1788730,2616593
