DateTime,XBOX,PS,PC
9/19/2019 0:00,1264622,900086,1174500
9/20/2019 0:00,869288,895386,1046333
9/21/2019 0:00,892671,964154,964500
9/22/2019 0:00,919333,1051788,1283333
9/23/2019 0:00,944520,1013275,1201250
9/24/2019 0:00,936577,991427,1140000
9/25/2019 0:00,928728,978802,1205000
9/26/2019 0:00,941179,947267,1167000
9/27/2019 0:00,935988,902927,1049500
9/28/2019 0:00,902690,917621,1155667
9/29/2019 0:00,897697,930163,1131667
9/30/2019 0:00,879174,927644,1145500
10/1/2019 0:00,887640,944655,1163750
10/2/2019 0:00,906000,985590,1191000
10/3/2019 0:00,944087,1002929,1185000
10/4/2019 0:00,932143,999204,1207000
10/5/2019 0:00,948500,1006250,1187857
10/6/2019 0:00,974571,1029276,1203750
10/7/2019 0:00,987667,1079133,1198857
10/8/2019 0:00,1023870,1150487,1295500
10/9/2019 0:00,1091545,1195333,1507571
10/10/2019 0:00,1121364,1224927,1446750
10/11/2019 0:00,1116772,1210547,1420310
10/12/2019 0:00,1099244,1201734,1440886
10/13/2019 0:00,1104875,1223047,1407472
10/14/2019 0:00,1123810,1277541,1456393
10/15/2019 0:00,1185607,1374440,1593971
10/16/2019 0:00,1222559,1401966,1662219
10/17/2019 0:00,1232419,1400217,1661527
10/18/2019 0:00,1258543,1401149,1690222
10/19/2019 0:00,1240857,1400687,1641925
10/20/2019 0:00,1233463,1398679,1621889
10/21/2019 0:00,1212286,1394291,1648860
10/22/2019 0:00,1214116,1392026,1653818
10/23/2019 0:00,1197585,1376039,1643805
10/24/2019 0:00,1212308,1384742,1641583
10/25/2019 0:00,1224425,1398189,1640250
10/26/2019 0:00,1196538,1378800,1630400
10/27/2019 0:00,1191275,1371431,1616903
10/28/2019 0:00,1187872,1364969,1613692
10/29/2019 0:00,1190051,1387230,1615762
10/30/2019 0:00,1206306,1392182,1629587
10/31/2019 0:00,1229222,1424470,1681057
11/1/2019 0:00,1266684,1459821,1727083
11/2/2019 0:00,1252167,1447184,1732690
11/3/2019 0:00,1234265,1432766,1704744
11/4/2019 0:00,1240579,1444463,1718863
11/5/2019 0:00,1249595,1474920,1741745
11/6/2019 0:00,1254703,1469306,1746167
11/7/2019 0:00,1261514,1479791,1798286
11/8/2019 0:00,1234500,1444324,1776923
11/9/2019 0:00,1192941,1408614,1742538
11/10/2019 0:00,1175818,1392741,1719065
11/11/2019 0:00,1153730,1361774,1680429
11/12/2019 0:00,1164306,1372782,1689340
11/13/2019 0:00,1172711,1382034,1713830
11/14/2019 0:00,1179257,1391282,1737108
11/15/2019 0:00,1185909,1399408,1731536
11/16/2019 0:00,1181969,1392030,1715045
11/17/2019 0:00,1170138,1383500,1748083
11/18/2019 0:00,1169914,1388359,1756810
11/19/2019 0:00,1177059,1400951,1773170
11/20/2019 0:00,1184121,1404940,1767778
11/21/2019 0:00,1209111,1440274,1798146
11/22/2019 0:00,1215286,1445423,1795160
11/23/2019 0:00,1171263,1386306,1784029
11/24/2019 0:00,1157143,1376371,1766250
11/25/2019 0:00,1156696,1388479,1774027
11/26/2019 0:00,1171048,1408592,1785167
11/27/2019 0:00,1177474,1404870,1799515
11/28/2019 0:00,1181800,1407797,1785903
11/29/2019 0:00,1193360,1427413,1788289
11/30/2019 0:00,1227308,1459397,1792343
12/1/2019 0:00,1198200,1437757,1799184
12/2/2019 0:00,1208710,1452436,1811435
12/3/2019 0:00,1231875,1465481,1817093
12/4/2019 0:00,1232972,1481028,1838300
12/5/2019 0:00,1230548,1478632,1827314
12/6/2019 0:00,1211515,1448192,1778523
12/7/2019 0:00,1179912,1391375,1673795
12/8/2019 0:00,1144884,1330354,1600746
12/9/2019 0:00,1079138,1263045,1531955
12/10/2019 0:00,1074017,1269136,1522705
12/11/2019 0:00,1075089,1267683,1486018
12/12/2019 0:00,1065527,1255455,1492667
12/13/2019 0:00,1073739,1263593,1499475
12/14/2019 0:00,1030317,1196358,1461362
12/15/2019 0:00,989889,1149388,1431560
12/16/2019 0:00,976211,1115427,1394120
12/17/2019 0:00,971793,1100123,1339857
12/18/2019 0:00,957057,1119274,1314757
12/19/2019 0:00,968300,1124919,1363071
12/20/2019 0:00,961425,1114603,1350171
12/21/2019 0:00,948063,1092000,1315000
12/22/2019 0:00,935362,1078819,1330489
12/23/2019 0:00,921479,1081479,1329911
12/24/2019 0:00,897644,1046342,1297867
12/25/2019 0:00,900524,1057015,1318161
12/26/2019 0:00,903293,1052171,1296892
12/27/2019 0:00,914391,1052492,1299444
12/28/2019 0:00,886167,1006224,1237690
12/29/2019 0:00,846118,941787,1210080
12/30/2019 0:00,803141,903792,1125642
12/31/2019 0:00,814014,923405,1100333
1/1/2020 0:00,824847,935887,1109184
1/2/2020 0:00,826690,932321,1104952
1/3/2020 0:00,818145,918940,1087863
1/4/2020 0:00,783317,882202,1043089
1/5/2020 0:00,774590,895952,1041094
1/6/2020 0:00,801687,917333,1083621
1/7/2020 0:00,818593,948079,1164803
